Diagnosis,ICD Code
Bus occupant (driver) (passenger) injured in other specified transport accidents,V798
Bus occupant (driver) (passenger) injured in transport accidents with military vehicle,V7981
Bus occupant (driver) (passenger) injured in other specified transport accidents,V7988
Bus occupant (driver) (passenger) injured in unspecified traffic accident,V799
Animal-rider or occupant of animal-drawn vehicle injured in transport accident,V80
Animal-rider or occupant of animal drawn vehicle injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident,V800
Animal-rider injured by fall from or being thrown from animal in noncollision accident,V8001
Animal-rider injured by fall from or being thrown from horse in noncollision accident,V80010
Animal-rider injured by fall from or being thrown from other animal in noncollision accident,V80018
Occupant of animal-drawn vehicle injured by fall from or being thrown from animal-drawn vehicle in noncollision accident,V8002
Animal-rider or occupant of animal-drawn vehicle injured in collision with pedestrian or animal,V801
Animal-rider injured in collision with pedestrian or animal,V8011
Occupant of animal-drawn vehicle injured in collision with pedestrian or animal,V8012
Animal-rider or occupant of animal-drawn vehicle injured in collision with pedal cycle,V802
Animal-rider injured in collision with pedal cycle,V8021
Occupant of animal-drawn vehicle injured in collision with pedal cycle,V8022
Animal-rider or occupant of animal-drawn vehicle injured in collision with two- or three-wheeled motor vehicle,V803
Animal-rider injured in collision with two- or three-wheeled motor vehicle,V8031
Occupant of animal-drawn vehicle injured in collision with two- or three-wheeled motor vehicle,V8032
"Animal-rider or occupant of animal-drawn vehicle injured in collision with car, pick-up truck, van, heavy transport vehicle or bus",V804
"Animal-rider injured in collision with car, pick-up truck, van, heavy transport vehicle or bus",V8041
"Occupant of animal-drawn vehicle injured in collision with car, pick-up truck, van, heavy transport vehicle or bus",V8042
Animal-rider or occupant of animal-drawn vehicle injured in collision with other specified motor vehicle,V805
Animal-rider injured in collision with other specified motor vehicle,V8051
Occupant of animal-drawn vehicle injured in collision with other specified motor vehicle,V8052
Animal-rider or occupant of animal-drawn vehicle injured in collision with railway train or railway vehicle,V806
Animal-rider injured in collision with railway train or railway vehicle,V8061
Occupant of animal-drawn vehicle injured in collision with railway train or railway vehicle,V8062
Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles,V807
Animal-rider or occupant of animal-drawn vehicle injured in collision with animal being ridden,V8071
Animal-rider injured in collision with other animal being ridden,V80710
Occupant of animal-drawn vehicle injured in collision with animal being ridden,V80711
Animal-rider or occupant of animal-drawn vehicle injured in collision with other animal-drawn vehicle,V8072
Animal-rider injured in collision with animal-drawn vehicle,V80720
Occupant of animal-drawn vehicle injured in collision with other animal-drawn vehicle,V80721
Animal-rider or occupant of animal-drawn vehicle injured in collision with streetcar,V8073
Animal-rider injured in collision with streetcar,V80730
Occupant of animal-drawn vehicle injured in collision with streetcar,V80731
Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles,V8079
Animal-rider injured in collision with other nonmotor vehicles,V80790
Occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles,V80791
Animal-rider or occupant of animal-drawn vehicle injured in collision with fixed or stationary object,V808
Animal-rider injured in collision with fixed or stationary object,V8081
Occupant of animal-drawn vehicle injured in collision with fixed or stationary object,V8082
Animal-rider or occupant of animal-drawn vehicle injured in other and unspecified transport accidents,V809
Animal-rider injured in other and unspecified transport accidents,V8091
Animal-rider injured in transport accident with military vehicle,V80910
Animal-rider injured in other transport accident,V80918
Animal-rider injured in unspecified transport accident,V80919
Occupant of animal-drawn vehicle injured in other and unspecified transport accidents,V8092
Occupant of animal-drawn vehicle injured in transport accident with military vehicle,V80920
Occupant of animal-drawn vehicle injured in other transport accident,V80928
Occupant of animal-drawn vehicle injured in unspecified transport accident,V80929
Occupant of railway train or railway vehicle injured in transport accident,V81
Occupant of railway train or railway vehicle injured in collision with motor vehicle in nontraffic accident,V810
Occupant of railway train or railway vehicle injured in collision with motor vehicle in traffic accident,V811
Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock,V812
Occupant of railway train or railway vehicle injured in collision with other object,V813
Person injured while boarding or alighting from railway train or railway vehicle,V814
Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle,V815
Occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle,V816
Occupant of railway train or railway vehicle injured in derailment without antecedent collision,V817
Occupant of railway train or railway vehicle injured in other specified railway accidents,V818
Occupant of railway train or railway vehicle injured due to explosion or fire on train,V8181
Occupant of railway train or railway vehicle injured due to object falling onto train,V8182
Occupant of railway train or railway vehicle injured due to collision with military vehicle,V8183
Occupant of railway train or railway vehicle injured due to other specified railway accident,V8189
Occupant of railway train or railway vehicle injured in unspecified railway accident,V819
Occupant of powered streetcar injured in transport accident,V82
Occupant of streetcar injured in collision with motor vehicle in nontraffic accident,V820
Occupant of streetcar injured in collision with motor vehicle in traffic accident,V821
Occupant of streetcar injured in collision with or hit by rolling stock,V822
Occupant of streetcar injured in collision with other object,V823
Person injured while boarding or alighting from streetcar,V824
Occupant of streetcar injured by fall in streetcar,V825
Occupant of streetcar injured by fall from streetcar,V826
Occupant of streetcar injured in derailment without antecedent collision,V827
Occupant of streetcar injured in other specified transport accidents,V828
Occupant of streetcar injured in unspecified traffic accident,V829
Occupant of special vehicle mainly used on industrial premises injured in transport accident,V83
Driver of special industrial vehicle injured in traffic accident,V830
Passenger of special industrial vehicle injured in traffic accident,V831
Person on outside of special industrial vehicle injured in traffic accident,V832
Unspecified occupant of special industrial vehicle injured in traffic accident,V833
Person injured while boarding or alighting from special industrial vehicle,V834
Driver of special industrial vehicle injured in nontraffic accident,V835
Passenger of special industrial vehicle injured in nontraffic accident,V836
Person on outside of special industrial vehicle injured in nontraffic accident,V837
Unspecified occupant of special industrial vehicle injured in nontraffic accident,V839
Occupant of special vehicle mainly used in agriculture injured in transport accident,V84
Driver of special agricultural vehicle injured in traffic accident,V840
Passenger of special agricultural vehicle injured in traffic accident,V841
Person on outside of special agricultural vehicle injured in traffic accident,V842
Unspecified occupant of special agricultural vehicle injured in traffic accident,V843
Person injured while boarding or alighting from special agricultural vehicle,V844
Driver of special agricultural vehicle injured in nontraffic accident,V845
Passenger of special agricultural vehicle injured in nontraffic accident,V846
Person on outside of special agricultural vehicle injured in nontraffic accident,V847
Unspecified occupant of special agricultural vehicle injured in nontraffic accident,V849
Occupant of special construction vehicle injured in transport accident,V85
Driver of special construction vehicle injured in traffic accident,V850
Passenger of special construction vehicle injured in traffic accident,V851
Person on outside of special construction vehicle injured in traffic accident,V852
Unspecified occupant of special construction vehicle injured in traffic accident,V853
Person injured while boarding or alighting from special construction vehicle,V854
Driver of special construction vehicle injured in nontraffic accident,V855
Passenger of special construction vehicle injured in nontraffic accident,V856
Person on outside of special construction vehicle injured in nontraffic accident,V857
Unspecified occupant of special construction vehicle injured in nontraffic accident,V859
"Occupant of special all-terrain or other off-road motor vehicle, injured in transport accident",V86
Driver of special all-terrain or other off-road motor vehicle injured in traffic accident,V860
Driver of ambulance or fire engine injured in traffic accident,V8601
Driver of snowmobile injured in traffic accident,V8602
Driver of dune buggy injured in traffic accident,V8603
Driver of military vehicle injured in traffic accident,V8604
Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident,V8605
Driver of dirt bike or motor/cross bike injured in traffic accident,V8606
Driver of other special all-terrain or other off-road motor vehicle injured in traffic accident,V8609
Passenger of special all-terrain or other off-road motor vehicle injured in traffic accident,V861
Passenger of ambulance or fire engine injured in traffic accident,V8611
Passenger of snowmobile injured in traffic accident,V8612
Passenger of dune buggy injured in traffic accident,V8613
Passenger of military vehicle injured in traffic accident,V8614
Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident,V8615
Passenger of dirt bike or motor/cross bike injured in traffic accident,V8616
Passenger of other special all-terrain or other off-road motor vehicle injured in traffic accident,V8619
Person on outside of special all-terrain or other off-road motor vehicle injured in traffic accident,V862
Person on outside of ambulance or fire engine injured in traffic accident,V8621
Person on outside of snowmobile injured in traffic accident,V8622
Person on outside of dune buggy injured in traffic accident,V8623
Person on outside of military vehicle injured in traffic accident,V8624
Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident,V8625
Person on outside of dirt bike or motor/cross bike injured in traffic accident,V8626
Person on outside of other special all-terrain or other off-road motor vehicle injured in traffic accident,V8629
Unspecified occupant of special all-terrain or other off-road motor vehicle injured in traffic accident,V863
Unspecified occupant of ambulance or fire engine injured in traffic accident,V8631
Unspecified occupant of snowmobile injured in traffic accident,V8632
Unspecified occupant of dune buggy injured in traffic accident,V8633
Unspecified occupant of military vehicle injured in traffic accident,V8634
Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident,V8635
Unspecified occupant of dirt bike or motor/cross bike injured in traffic accident,V8636
Unspecified occupant of other special all-terrain or other off-road motor vehicle injured in traffic accident,V8639
Person injured while boarding or alighting from special all-terrain or other off-road motor vehicle,V864
Person injured while boarding or alighting from ambulance or fire engine,V8641
Person injured while boarding or alighting from snowmobile,V8642
Person injured while boarding or alighting from dune buggy,V8643
Person injured while boarding or alighting from military vehicle,V8644
Person injured while boarding or alighting from a 3- or 4- wheeled all-terrain vehicle (ATV),V8645
Person injured while boarding or alighting from a dirt bike or motor/cross bike,V8646
Person injured while boarding or alighting from other special all-terrain or other off-road motor vehicle,V8649
Driver of special all-terrain or other off-road motor vehicle injured in nontraffic accident,V865
Driver of ambulance or fire engine injured in nontraffic accident,V8651
Driver of snowmobile injured in nontraffic accident,V8652
Driver of dune buggy injured in nontraffic accident,V8653
Driver of military vehicle injured in nontraffic accident,V8654
Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,V8655
Driver of dirt bike or motor/cross bike injured in nontraffic accident,V8656
Driver of other special all-terrain or other off-road motor vehicle injured in nontraffic accident,V8659
Passenger of special all-terrain or other off-road motor vehicle injured in nontraffic accident,V866
Passenger of ambulance or fire engine injured in nontraffic accident,V8661
Passenger of snowmobile injured in nontraffic accident,V8662
Passenger of dune buggy injured in nontraffic accident,V8663
Passenger of military vehicle injured in nontraffic accident,V8664
Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,V8665
Passenger of dirt bike or motor/cross bike injured in nontraffic accident,V8666
Passenger of other special all-terrain or other off-road motor vehicle injured in nontraffic accident,V8669
Person on outside of special all-terrain or other off-road motor vehicle injured in nontraffic accident,V867
Person on outside of ambulance or fire engine injured in nontraffic accident,V8671
Person on outside of snowmobile injured in nontraffic accident,V8672
Person on outside of dune buggy injured in nontraffic accident,V8673
Person on outside of military vehicle injured in nontraffic accident,V8674
Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,V8675
Person on outside of dirt bike or motor/cross bike injured in nontraffic accident,V8676
Person on outside of other special all-terrain or other off-road motor vehicles injured in nontraffic accident,V8679
Unspecified occupant of special all-terrain or other off-road motor vehicle injured in nontraffic accident,V869
Unspecified occupant of ambulance or fire engine injured in nontraffic accident,V8691
Unspecified occupant of snowmobile injured in nontraffic accident,V8692
Unspecified occupant of dune buggy injured in nontraffic accident,V8693
Unspecified occupant of military vehicle injured in nontraffic accident,V8694
Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,V8695
Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident,V8696
Unspecified occupant of other special all-terrain or other off-road motor vehicle injured in nontraffic accident,V8699
Traffic accident of specified type but victim's mode of transport unknown,V87
Person injured in collision between car and two- or three-wheeled powered vehicle (traffic),V870
Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle (traffic),V871
Person injured in collision between car and pick-up truck or van (traffic),V872
Person injured in collision between car and bus (traffic),V873
Person injured in collision between car and heavy transport vehicle (traffic),V874
Person injured in collision between heavy transport vehicle and bus (traffic),V875
Person injured in collision between railway train or railway vehicle and car (traffic),V876
Person injured in collision between other specified motor vehicles (traffic),V877
Person injured in other specified noncollision transport accidents involving motor vehicle (traffic),V878
Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle (traffic),V879
Nontraffic accident of specified type but victim's mode of transport unknown,V88
"Person injured in collision between car and two- or three-wheeled motor vehicle, nontraffic",V880
"Person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle, nontraffic",V881
"Person injured in collision between car and pick-up truck or van, nontraffic",V882
"Person injured in collision between car and bus, nontraffic",V883
"Person injured in collision between car and heavy transport vehicle, nontraffic",V884
"Person injured in collision between heavy transport vehicle and bus, nontraffic",V885
"Person injured in collision between railway train or railway vehicle and car, nontraffic",V886
"Person injured in collision between other specified motor vehicle, nontraffic",V887
"Person injured in other specified noncollision transport accidents involving motor vehicle, nontraffic",V888
"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic",V889
"Motor- or nonmotor-vehicle accident, type of vehicle unspecified",V89
"Person injured in unspecified motor-vehicle accident, nontraffic",V890
"Person injured in unspecified nonmotor-vehicle accident, nontraffic",V891
"Person injured in unspecified motor-vehicle accident, traffic",V892
"Person injured in unspecified nonmotor-vehicle accident, traffic",V893
Person injured in unspecified vehicle accident,V899
Drowning and submersion due to accident to watercraft,V90
Drowning and submersion due to watercraft overturning,V900
Drowning and submersion due to merchant ship overturning,V9000
Drowning and submersion due to passenger ship overturning,V9001
Drowning and submersion due to fishing boat overturning,V9002
Drowning and submersion due to other powered watercraft overturning,V9003
Drowning and submersion due to sailboat overturning,V9004
Drowning and submersion due to canoe or kayak overturning,V9005
Drowning and submersion due to (nonpowered) inflatable craft overturning,V9006
Drowning and submersion due to other unpowered watercraft overturning,V9008
Drowning and submersion due to unspecified watercraft overturning,V9009
Drowning and submersion due to watercraft sinking,V901
Drowning and submersion due to merchant ship sinking,V9010
Drowning and submersion due to passenger ship sinking,V9011
Drowning and submersion due to fishing boat sinking,V9012
Drowning and submersion due to other powered watercraft sinking,V9013
Drowning and submersion due to sailboat sinking,V9014
Drowning and submersion due to canoe or kayak sinking,V9015
Drowning and submersion due to (nonpowered) inflatable craft sinking,V9016
Drowning and submersion due to other unpowered watercraft sinking,V9018
Drowning and submersion due to unspecified watercraft sinking,V9019
Drowning and submersion due to falling or jumping from burning watercraft,V902
Drowning and submersion due to falling or jumping from burning merchant ship,V9020
Drowning and submersion due to falling or jumping from burning passenger ship,V9021
Drowning and submersion due to falling or jumping from burning fishing boat,V9022
Drowning and submersion due to falling or jumping from other burning powered watercraft,V9023
Drowning and submersion due to falling or jumping from burning sailboat,V9024
Drowning and submersion due to falling or jumping from burning canoe or kayak,V9025
Drowning and submersion due to falling or jumping from burning (nonpowered) inflatable craft,V9026
Drowning and submersion due to falling or jumping from burning water-skis,V9027
Drowning and submersion due to falling or jumping from other burning unpowered watercraft,V9028
Drowning and submersion due to falling or jumping from unspecified burning watercraft,V9029
Drowning and submersion due to falling or jumping from crushed watercraft,V903
Drowning and submersion due to falling or jumping from crushed merchant ship,V9030
Drowning and submersion due to falling or jumping from crushed passenger ship,V9031
Drowning and submersion due to falling or jumping from crushed fishing boat,V9032
Drowning and submersion due to falling or jumping from other crushed powered watercraft,V9033
Drowning and submersion due to falling or jumping from crushed sailboat,V9034
Drowning and submersion due to falling or jumping from crushed canoe or kayak,V9035
Drowning and submersion due to falling or jumping from crushed (nonpowered) inflatable craft,V9036
Drowning and submersion due to falling or jumping from crushed water-skis,V9037
Drowning and submersion due to falling or jumping from other crushed unpowered watercraft,V9038
Drowning and submersion due to falling or jumping from crushed unspecified watercraft,V9039
Drowning and submersion due to other accident to watercraft,V908
Drowning and submersion due to other accident to merchant ship,V9080
Drowning and submersion due to other accident to passenger ship,V9081
Drowning and submersion due to other accident to fishing boat,V9082
Drowning and submersion due to other accident to other powered watercraft,V9083
Drowning and submersion due to other accident to sailboat,V9084
Drowning and submersion due to other accident to canoe or kayak,V9085
Drowning and submersion due to other accident to (nonpowered) inflatable craft,V9086
Drowning and submersion due to other accident to water-skis,V9087
Drowning and submersion due to other accident to other unpowered watercraft,V9088
Drowning and submersion due to other accident to unspecified watercraft,V9089
Other injury due to accident to watercraft,V91
Burn due to watercraft on fire,V910
Burn due to merchant ship on fire,V9100
Burn due to passenger ship on fire,V9101
Burn due to fishing boat on fire,V9102
Burn due to other powered watercraft on fire,V9103
Burn due to sailboat on fire,V9104
Burn due to canoe or kayak on fire,V9105
Burn due to (nonpowered) inflatable craft on fire,V9106
Burn due to water-skis on fire,V9107
Burn due to other unpowered watercraft on fire,V9108
Burn due to unspecified watercraft on fire,V9109
Crushed between watercraft and other watercraft or other object due to collision,V911
Crushed between merchant ship and other watercraft or other object due to collision,V9110
Crushed between passenger ship and other watercraft or other object due to collision,V9111
Crushed between fishing boat and other watercraft or other object due to collision,V9112
Crushed between other powered watercraft and other watercraft or other object due to collision,V9113
Crushed between sailboat and other watercraft or other object due to collision,V9114
Crushed between canoe or kayak and other watercraft or other object due to collision,V9115
Crushed between (nonpowered) inflatable craft and other watercraft or other object due to collision,V9116
Crushed between other unpowered watercraft and other watercraft or other object due to collision,V9118
Crushed between unspecified watercraft and other watercraft or other object due to collision,V9119
Fall due to collision between watercraft and other watercraft or other object,V912
Fall due to collision between merchant ship and other watercraft or other object,V9120
Fall due to collision between passenger ship and other watercraft or other object,V9121
Fall due to collision between fishing boat and other watercraft or other object,V9122
Fall due to collision between other powered watercraft and other watercraft or other object,V9123
Fall due to collision between sailboat and other watercraft or other object,V9124
Fall due to collision between canoe or kayak and other watercraft or other object,V9125
Fall due to collision between (nonpowered) inflatable craft and other watercraft or other object,V9126
Fall due to collision between unspecified watercraft and other watercraft or other object,V9129
Hit or struck by falling object due to accident to watercraft,V913
Hit or struck by falling object due to accident to merchant ship,V9130
Hit or struck by falling object due to accident to passenger ship,V9131
Hit or struck by falling object due to accident to fishing boat,V9132
Hit or struck by falling object due to accident to other powered watercraft,V9133
Hit or struck by falling object due to accident to sailboat,V9134
Hit or struck by falling object due to accident to canoe or kayak,V9135
Hit or struck by falling object due to accident to (nonpowered) inflatable craft,V9136
Hit or struck by falling object due to accident to water-skis,V9137
Hit or struck by falling object due to accident to other unpowered watercraft,V9138
Hit or struck by falling object due to accident to unspecified watercraft,V9139
Other injury due to other accident to watercraft,V918
Other injury due to other accident to merchant ship,V9180
Other injury due to other accident to passenger ship,V9181
Other injury due to other accident to fishing boat,V9182
Other injury due to other accident to other powered watercraft,V9183
Other injury due to other accident to sailboat,V9184
Other injury due to other accident to canoe or kayak,V9185
Other injury due to other accident to (nonpowered) inflatable craft,V9186
Other injury due to other accident to water-skis,V9187
Other injury due to other accident to other unpowered watercraft,V9188
Other injury due to other accident to unspecified watercraft,V9189
"Drowning and submersion due to accident on board watercraft, without accident to watercraft",V92
Drowning and submersion due to fall off watercraft,V920
Drowning and submersion due to fall off merchant ship,V9200
Drowning and submersion due to fall off passenger ship,V9201
Drowning and submersion due to fall off fishing boat,V9202
Drowning and submersion due to fall off other powered watercraft,V9203
Drowning and submersion due to fall off sailboat,V9204
Drowning and submersion due to fall off canoe or kayak,V9205
Drowning and submersion due to fall off (nonpowered) inflatable craft,V9206
Drowning and submersion due to fall off water-skis,V9207
Drowning and submersion due to fall off other unpowered watercraft,V9208
Drowning and submersion due to fall off unspecified watercraft,V9209
Drowning and submersion due to being thrown overboard by motion of watercraft,V921
Drowning and submersion due to being thrown overboard by motion of merchant ship,V9210
Drowning and submersion due to being thrown overboard by motion of passenger ship,V9211
Drowning and submersion due to being thrown overboard by motion of fishing boat,V9212
Drowning and submersion due to being thrown overboard by motion of other powered watercraft,V9213
Drowning and submersion due to being thrown overboard by motion of sailboat,V9214
Drowning and submersion due to being thrown overboard by motion of canoe or kayak,V9215
Drowning and submersion due to being thrown overboard by motion of (nonpowered) inflatable craft,V9216
Drowning and submersion due to being thrown overboard by motion of unspecified watercraft,V9219
Drowning and submersion due to being washed overboard from watercraft,V922
Drowning and submersion due to being washed overboard from merchant ship,V9220
Drowning and submersion due to being washed overboard from passenger ship,V9221
Drowning and submersion due to being washed overboard from fishing boat,V9222
Drowning and submersion due to being washed overboard from other powered watercraft,V9223
Drowning and submersion due to being washed overboard from sailboat,V9224
Drowning and submersion due to being washed overboard from canoe or kayak,V9225
Drowning and submersion due to being washed overboard from (nonpowered) inflatable craft,V9226
Drowning and submersion due to being washed overboard from water-skis,V9227
Drowning and submersion due to being washed overboard from other unpowered watercraft,V9228
Drowning and submersion due to being washed overboard from unspecified watercraft,V9229
"Other injury due to accident on board watercraft, without accident to watercraft",V93
Burn due to localized fire on board watercraft,V930
Burn due to localized fire on board merchant vessel,V9300
Burn due to localized fire on board passenger vessel,V9301
Burn due to localized fire on board fishing boat,V9302
Burn due to localized fire on board other powered watercraft,V9303
Burn due to localized fire on board sailboat,V9304
Burn due to localized fire on board unspecified watercraft,V9309
Other burn on board watercraft,V931
Other burn on board merchant vessel,V9310
Other burn on board passenger vessel,V9311
Other burn on board fishing boat,V9312
Other burn on board other powered watercraft,V9313
Other burn on board sailboat,V9314
Other burn on board unspecified watercraft,V9319
Heat exposure on board watercraft,V932
Heat exposure on board merchant ship,V9320
Heat exposure on board passenger ship,V9321
Heat exposure on board fishing boat,V9322
Heat exposure on board other powered watercraft,V9323
Heat exposure on board sailboat,V9324
Heat exposure on board unspecified watercraft,V9329
Fall on board watercraft,V933
Fall on board merchant ship,V9330
Fall on board passenger ship,V9331
Fall on board fishing boat,V9332
Fall on board other powered watercraft,V9333
Fall on board sailboat,V9334
Fall on board canoe or kayak,V9335
Fall on board (nonpowered) inflatable craft,V9336
Fall on board other unpowered watercraft,V9338
Fall on board unspecified watercraft,V9339
Struck by falling object on board watercraft,V934
Struck by falling object on merchant ship,V9340
Struck by falling object on passenger ship,V9341
Struck by falling object on fishing boat,V9342
Struck by falling object on other powered watercraft,V9343
Struck by falling object on sailboat,V9344
Struck by falling object on other unpowered watercraft,V9348
Struck by falling object on unspecified watercraft,V9349
Explosion on board watercraft,V935
Explosion on board merchant ship,V9350
Explosion on board passenger ship,V9351
Explosion on board fishing boat,V9352
Explosion on board other powered watercraft,V9353
Explosion on board sailboat,V9354
Explosion on board unspecified watercraft,V9359
Machinery accident on board watercraft,V936
Machinery accident on board merchant ship,V9360
Machinery accident on board passenger ship,V9361
Machinery accident on board fishing boat,V9362
Machinery accident on board other powered watercraft,V9363
Machinery accident on board sailboat,V9364
Machinery accident on board unspecified watercraft,V9369
Other injury due to other accident on board watercraft,V938
Other injury due to other accident on board merchant ship,V9380
Other injury due to other accident on board passenger ship,V9381
Other injury due to other accident on board fishing boat,V9382
Other injury due to other accident on board other powered watercraft,V9383
Other injury due to other accident on board sailboat,V9384
Other injury due to other accident on board canoe or kayak,V9385
Other injury due to other accident on board (nonpowered) inflatable craft,V9386
Other injury due to other accident on board water-skis,V9387
Other injury due to other accident on board other unpowered watercraft,V9388
Other injury due to other accident on board unspecified watercraft,V9389
Other and unspecified water transport accidents,V94
Hitting object or bottom of body of water due to fall from watercraft,V940
Bather struck by watercraft,V941
Bather struck by powered watercraft,V9411
Bather struck by nonpowered watercraft,V9412
Rider of nonpowered watercraft struck by other watercraft,V942
Rider of nonpowered watercraft struck by other nonpowered watercraft,V9421
Rider of nonpowered watercraft struck by powered watercraft,V9422
Injury to rider of (inflatable) watercraft being pulled behind other watercraft,V943
Injury to rider of (inflatable) recreational watercraft being pulled behind other watercraft,V9431
Injury to rider of non-recreational watercraft being pulled behind other watercraft,V9432
Injury to barefoot water-skier,V944
Other water transport accident,V948
Water transport accident involving military watercraft,V9481
Civilian watercraft involved in water transport accident with military watercraft,V94810
Civilian in water injured by military watercraft,V94811
Other water transport accident involving military watercraft,V94818
Other water transport accident,V9489
Unspecified water transport accident,V949
Accident to powered aircraft causing injury to occupant,V95
Helicopter accident injuring occupant,V950
Unspecified helicopter accident injuring occupant,V9500
Helicopter crash injuring occupant,V9501
Forced landing of helicopter injuring occupant,V9502
Helicopter collision injuring occupant,V9503
Helicopter fire injuring occupant,V9504
Helicopter explosion injuring occupant,V9505
Other helicopter accident injuring occupant,V9509
"Ultralight, microlight or powered-glider accident injuring occupant",V951
"Unspecified ultralight, microlight or powered-glider accident injuring occupant",V9510
"Ultralight, microlight or powered-glider crash injuring occupant",V9511
"Forced landing of ultralight, microlight or powered-glider injuring occupant",V9512
"Ultralight, microlight or powered-glider collision injuring occupant",V9513
"Ultralight, microlight or powered-glider fire injuring occupant",V9514
"Ultralight, microlight or powered-glider explosion injuring occupant",V9515
"Other ultralight, microlight or powered-glider accident injuring occupant",V9519
Other private fixed-wing aircraft accident injuring occupant,V952
"Unspecified accident to other private fixed-wing aircraft, injuring occupant",V9520
Other private fixed-wing aircraft crash injuring occupant,V9521
Forced landing of other private fixed-wing aircraft injuring occupant,V9522
Other private fixed-wing aircraft collision injuring occupant,V9523
Other private fixed-wing aircraft fire injuring occupant,V9524
Other private fixed-wing aircraft explosion injuring occupant,V9525
Other accident to other private fixed-wing aircraft injuring occupant,V9529
Commercial fixed-wing aircraft accident injuring occupant,V953
Unspecified accident to commercial fixed-wing aircraft injuring occupant,V9530
Commercial fixed-wing aircraft crash injuring occupant,V9531
Forced landing of commercial fixed-wing aircraft injuring occupant,V9532
Commercial fixed-wing aircraft collision injuring occupant,V9533
Commercial fixed-wing aircraft fire injuring occupant,V9534
Commercial fixed-wing aircraft explosion injuring occupant,V9535
Other accident to commercial fixed-wing aircraft injuring occupant,V9539
Spacecraft accident injuring occupant,V954
Unspecified spacecraft accident injuring occupant,V9540
Spacecraft crash injuring occupant,V9541
Forced landing of spacecraft injuring occupant,V9542
Spacecraft collision injuring occupant,V9543
Spacecraft fire injuring occupant,V9544
Spacecraft explosion injuring occupant,V9545
Other spacecraft accident injuring occupant,V9549
Other powered aircraft accidents injuring occupant,V958
Unspecified aircraft accident injuring occupant,V959
Accident to nonpowered aircraft causing injury to occupant,V96
Balloon accident injuring occupant,V960
Unspecified balloon accident injuring occupant,V9600
Balloon crash injuring occupant,V9601
Forced landing of balloon injuring occupant,V9602
Balloon collision injuring occupant,V9603
Balloon fire injuring occupant,V9604
Balloon explosion injuring occupant,V9605
Other balloon accident injuring occupant,V9609
Hang-glider accident injuring occupant,V961
Unspecified hang-glider accident injuring occupant,V9610
Hang-glider crash injuring occupant,V9611
Forced landing of hang-glider injuring occupant,V9612
Hang-glider collision injuring occupant,V9613
Hang-glider fire injuring occupant,V9614
Hang-glider explosion injuring occupant,V9615
Other hang-glider accident injuring occupant,V9619
Glider (nonpowered) accident injuring occupant,V962
Unspecified glider (nonpowered) accident injuring occupant,V9620
Glider (nonpowered) crash injuring occupant,V9621
Forced landing of glider (nonpowered) injuring occupant,V9622
Glider (nonpowered) collision injuring occupant,V9623
Glider (nonpowered) fire injuring occupant,V9624
Glider (nonpowered) explosion injuring occupant,V9625
Other glider (nonpowered) accident injuring occupant,V9629
Other nonpowered-aircraft accidents injuring occupant,V968
Unspecified nonpowered-aircraft accident injuring occupant,V969
Other specified air transport accidents,V97
Occupant of aircraft injured in other specified air transport accidents,V970
Person injured while boarding or alighting from aircraft,V971
Parachutist accident,V972
Parachutist entangled in object,V9721
Parachutist injured on landing,V9722
Other parachutist accident,V9729
Person on ground injured in air transport accident,V973
Hit by object falling from aircraft,V9731
Injured by rotating propeller,V9732
Sucked into jet engine,V9733
Other injury to person on ground due to air transport accident,V9739
"Other air transport accidents, not elsewhere classified",V978
Air transport accident involving military aircraft,V9781
Civilian aircraft involved in air transport accident with military aircraft,V97810
Civilian injured by military aircraft,V97811
Other air transport accident involving military aircraft,V97818
"Other air transport accidents, not elsewhere classified",V9789
Other specified transport accidents,V98
"Accident to, on or involving cable-car, not on rails",V980
"Accident to, on or involving land-yacht",V981
"Accident to, on or involving ice yacht",V982
"Accident to, on or involving ski lift",V983
Other specified transport accidents,V988
Unspecified transport accident,V99
Fall due to ice and snow,W00
Fall on same level due to ice and snow,W000
